,fuel,test_year,age,y_mean,y_lower,y_upper,n
167,car_bev,2024,5,67237.02793506633,67009.07232803998,67464.98354209268,27967
168,car_bev,2024,6,76821.02437522869,76409.77580265267,77232.27294780471,10932
169,car_bev,2024,7,90901.26414369774,90302.05187281399,91500.4764145815,6458
170,car_bev,2024,8,97671.15492569003,97007.77308619487,98334.5367651852,6594
171,car_bev,2024,9,96909.72607323233,96233.28449300803,97586.16765345664,5544
172,car_bev,2024,10,104190.17602413465,103322.11990764482,105058.23214062447,3149
173,car_bev,2024,11,109387.48703535814,108081.32170027553,110693.65237044074,1103
174,car_bev,2024,12,96481.41848238483,94512.43017568524,98450.40678908443,369
175,car_diesel,2010,3,66945.73541939791,66861.40248866308,67030.06835013274,184288
176,car_diesel,2010,4,86874.0714220898,86770.53433779778,86977.6085063818,170151
177,car_diesel,2010,5,105474.0898158435,105352.87058716227,105595.30904452474,159864
178,car_diesel,2010,6,121933.12361294091,121795.05039461835,122071.19683126347,150747
179,car_diesel,2010,7,141439.24933493233,141273.27975167023,141605.21891819444,122995
180,car_diesel,2010,8,156992.07568977913,156842.0666104936,157142.08476906465,166952
181,car_diesel,2010,9,171945.87076521153,171758.61637327715,172133.1251571459,124593
182,car_diesel,2010,10,185454.5387444934,185217.7571264861,185691.32036250067,85806
183,car_diesel,2010,11,195314.8159767621,195040.10347459497,195589.52847892922,66357
184,car_diesel,2010,12,201298.8209474737,200992.76971384656,201604.87218110083,55991
185,car_diesel,2010,13,205604.13107336292,205266.3470939283,205941.91505279753,46713
186,car_diesel,2010,14,208919.28465228947,208526.02569903363,209312.5436055453,36122
187,car_diesel,2010,15,214304.439936608,213854.99103310058,214753.8888401154,27606
188,car_diesel,2010,16,221759.00424193943,221231.28342090585,222286.725062973,20625
189,car_diesel,2011,3,66285.51317667536,66201.57083365206,66369.45551969866,188436
190,car_diesel,2011,4,85441.39628601112,85338.43165869772,85544.36091332452,174217
191,car_diesel,2011,5,103710.9700885253,103593.04820587115,103828.89197117944,166845
192,car_diesel,2011,6,121502.0499855162,121367.8592278488,121636.2407431836,157417
193,car_diesel,2011,7,136807.81317313318,136658.22232327264,136957.40402299372,146962
194,car_diesel,2011,8,155158.28887840026,154982.84268494765,155333.73507185286,120765
195,car_diesel,2011,9,169664.99986037685,169506.47140539263,169823.52831536107,159644
196,car_diesel,2011,10,182858.56325073313,182660.91149802366,183056.2150034426,115940
197,car_diesel,2011,11,195188.4077893537,194932.13819654583,195444.67738216155,76308
198,car_diesel,2011,12,203918.12702797266,203616.94520584962,204219.3088500957,56305
199,car_diesel,2011,13,209235.1777312658,208886.25473874263,209584.100723789,45078
200,car_diesel,2011,14,212747.78110881406,212359.63811184125,213135.92410578686,35795
201,car_diesel,2011,15,215408.97021036813,214952.77466794726,215865.165752789,26620
202,car_diesel,2011,16,220115.59891194053,219579.5245415343,220651.67328234675,19907
203,car_diesel,2011,17,226867.90724417497,226243.39892264473,227492.41556570522,14678
204,car_diesel,2012,3,62591.89382085756,62511.335145120334,62672.45249659478,192640
205,car_diesel,2012,4,84291.8376275753,84189.88676216661,84393.78849298398,176680
206,car_diesel,2012,5,102493.00090264689,102374.79803126078,102611.203774033,170842
