fuel,reg_year,age,emissions,std_error,n
car_hev,2014,8,26.59503851174069,0.08456545092287099,25433
car_hev,2014,9,28.858767946323095,0.09433113287239105,25353
car_hev,2014,10,31.06762513399452,0.1123040329784451,21640
car_hev,2015,0,7.611965276215895,0.006123832702524517,37345
car_hev,2015,1,10.218580792023353,0.013136746861197979,37345
car_hev,2015,2,12.825196307830812,0.022410157161820897,37345
car_hev,2015,3,15.62243757147714,0.03381376947092833,37345
car_hev,2015,4,18.104174467854737,0.042436550159146845,36531
car_hev,2015,5,20.15982629088374,0.0501994462805249,35036
car_hev,2015,6,22.033957603127075,0.05622332453612758,36397
car_hev,2015,7,24.29758712343222,0.06469307476351349,36429
car_hev,2015,8,26.594641795020735,0.07338572930734072,36268
car_hev,2015,9,28.892196503845703,0.08826365419946529,30777
car_hev,2016,0,7.806110594755179,0.005681935231794966,45257
car_hev,2016,1,10.28638787732535,0.011346534238218563,45257
car_hev,2016,2,12.766665159895522,0.019241108242725284,45257
car_hev,2016,3,15.39454296972872,0.02880167948349418,45257
car_hev,2016,4,17.40006202606176,0.03516261338531814,43057
car_hev,2016,5,19.203289432530294,0.040446120688457515,44222
car_hev,2016,6,21.46044760617231,0.04771474697462456,44368
car_hev,2016,7,23.758741651997944,0.05556950090431124,44058
car_hev,2016,8,25.953818920330455,0.06842047858712623,36901
car_hev,2017,0,7.980824723691224,0.007321159669688776,50838
car_hev,2017,1,10.13374097337587,0.01097424386456644,50838
car_hev,2017,2,12.286657223060518,0.01678984013898709,50838
car_hev,2017,3,14.484262989948183,0.023629131621036817,50839
car_hev,2017,4,16.04362091838756,0.028276483914018612,50006
car_hev,2017,5,18.010766120597545,0.033869195886791256,50001
car_hev,2017,6,20.038913359525825,0.040023505924842794,49533
car_hev,2017,7,21.74591586495548,0.04958882428821138,41584
car_hev,2018,0,8.31778052600426,0.004666293926930104,77683
car_hev,2018,1,10.408772736351322,0.007062010511409529,77683
car_hev,2018,2,12.499764946698384,0.011396155133091732,77683
car_hev,2018,3,14.68864472719431,0.016866165859245934,77697
car_hev,2018,4,16.807248668032447,0.021453112696129227,76794
car_hev,2018,5,19.01310032052953,0.026287174744158835,76221
car_hev,2018,6,21.063738414854253,0.033882847901970714,64246
car_hev,2019,0,8.59339291011327,0.004375824381533533,102000
car_hev,2019,1,10.716489197581263,0.006516096777031175,102000
car_hev,2019,2,12.839585485049254,0.010535708961783657,102000
car_hev,2019,3,15.082678605898064,0.01562645036812522,102017
car_hev,2019,4,17.40157117807559,0.020133222882411872,100265
car_hev,2019,5,19.514919690435843,0.026597404183127744,83012
car_hev,2020,0,8.968593465538964,0.003269516066096917,173711
car_hev,2020,1,10.948955404731109,0.00533377716667502,173711
car_hev,2020,2,12.929317343923248,0.008760874215605466,173711
car_hev,2020,3,14.939909064936053,0.012557527525649271,173733
car_hev,2020,4,16.881809099639565,0.0171418004347794,138414
car_hev,2021,0,8.7954254501587,0.0029379119048806735,255089
car_hev,2021,1,10.742529849724328,0.004714911573351926,255089
car_hev,2021,2,12.689634249289956,0.007593756517895511,255089
car_hev,2021,3,14.632794496658878,0.010737539660994125,255089
car_bev,2012,0,7.885592937842085,0.050935620662848236,499
car_bev,2012,1,8.679869235563775,0.056506709772998626,499
car_bev,2012,2,9.393044235571264,0.06554703515738802,499
car_bev,2012,3,10.016560395071341,0.07563263682174058,499
car_bev,2012,4,10.639474837850512,0.08911041675122991,464
car_bev,2012,5,11.157282406121391,0.09935110121524393,435
car_bev,2012,6,11.625598342872255,0.10138870177841135,482
car_bev,2012,7,12.042841674348354,0.11053790258658021,471
car_bev,2012,8,12.271059664208563,0.11636436674254375,450
car_bev,2012,9,12.636535578939897,0.11817998567127139,476
car_bev,2012,10,12.880776620339434,0.12160903156721127,470
car_bev,2012,11,13.111329679828927,0.12270783096929017,462
car_bev,2012,12,13.515463917295174,0.14605001756005767,325
car_bev,2013,0,8.42456038414591,0.01834044130323962,1124
car_bev,2013,1,9.422424822493817,0.02694756479792513,1124
car_bev,2013,2,10.293297089515706,0.03847966721763528,1124
car_bev,2013,3,11.04872243577976,0.04943709710687902,1124
car_bev,2013,4,11.674222945890442,0.06181362001495221,919
car_bev,2013,5,12.324501611490366,0.06282324287597311,1083
car_bev,2013,6,12.853513566353177,0.06682686169075445,1084
car_bev,2013,7,13.234688258499615,0.07329136526256862,1008
car_bev,2013,8,13.612467780716178,0.07357946927522843,1081
car_bev,2013,9,14.064549268370302,0.0777521460713671,1087
car_bev,2013,10,14.382316364349139,0.08006735967169083,1077
car_bev,2013,11,14.709213461792935,0.08604022322402316,898
car_bev,2014,0,8.902219857834968,0.030125260328697924,3752
car_bev,2014,1,9.807450003934559,0.03512388184114265,3752
car_bev,2014,2,10.588228352451932,0.04061394473581526,3752
car_bev,2014,3,11.2999955039813,0.04636757832499687,3752
car_bev,2014,4,11.953612825600471,0.05175822549597437,3627
car_bev,2014,5,12.591566825489293,0.05760815291052133,3578
car_bev,2014,6,13.075521134596762,0.0626799821005976,3441
car_bev,2014,7,13.466322791052976,0.06368611236193397,3632
car_bev,2014,8,13.983121237597768,0.06821228016909166,3618
car_bev,2014,9,14.295975030364898,0.06891950278132145,3561
car_bev,2014,10,14.398832643848458,0.07551553250672337,2738
car_bev,2015,0,9.145652623310783,0.026428454935697916,6651
car_bev,2015,1,9.937899769182215,0.030458117129902214,6651
car_bev,2015,2,10.654399993598188,0.034723521825548304,6651
car_bev,2015,3,11.327375145335214,0.039122796740929694,6651
car_bev,2015,4,11.932515040633726,0.043289280025580634,6398
car_bev,2015,5,12.429589943831498,0.046937773671261555,6112
car_bev,2015,6,12.85227236678852,0.04882290673980074,6399
car_bev,2015,7,13.38306559923991,0.05208335380230929,6402
car_bev,2015,8,13.713670268172212,0.054006484496806687,6317
car_bev,2015,9,13.788380843319239,0.059597692853425824,4905
car_bev,2016,0,9.740745074578927,0.02981310078411403,7355
car_bev,2016,1,10.594937787512587,0.03352323426362707,7355
car_bev,2016,2,11.392806327735993,0.037689526764983376,7355
car_bev,2016,3,12.134332883492267,0.04205646363673433,7355
car_bev,2016,4,12.640071928013192,0.04651968278144344,6725
car_bev,2016,5,13.157045226939331,0.04830006537379553,7081
car_bev,2016,6,13.785448176577997,0.05219184322869304,7116
car_bev,2016,7,14.272165821114337,0.05571804903102459,7002
car_bev,2016,8,14.299967330256093,0.06179496135860839,5695
car_bev,2017,0,10.52854305728581,0.035349182223214294,7710
car_bev,2017,1,11.365044649857278,0.03866779330211212,7710
car_bev,2017,2,12.135839767034712,0.04231042290302507,7710
car_bev,2017,3,12.847605661453319,0.0461338206558738,7710
car_bev,2017,4,13.344168825038187,0.04963950380278132,7453
car_bev,2017,5,14.048181446645067,0.05315043466312706,7493
car_bev,2017,6,14.571572807906641,0.05672263025354885,7405
car_bev,2017,7,14.655782272481803,0.06486891355067063,5859
car_bev,2018,0,10.374622124526294,0.024065195740606588,12387
