,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
207,car_diesel,2019,2024,16645.50097729627,16613.206115232886,16677.795839359653,169928
208,car_diesel,2020,2023,16575.24180999099,16552.42043428479,16598.063185697185,208548
209,car_diesel,2020,2024,16720.238228805607,16691.601281348514,16748.8751762627,166176
210,car_diesel,2021,2024,18254.271455399063,18229.868144834374,18278.67476596375,205758
211,car_petrol,2010,2013,12156.714208085277,12140.996975289614,12172.43144088094,189307
212,car_petrol,2010,2014,11435.50566513774,11418.799974484773,11452.211355790707,184661
213,car_petrol,2010,2015,11239.5683564763,11223.139139117886,11255.997573834715,183137
214,car_petrol,2010,2016,10944.578097693366,10928.221056344073,10960.935139042658,180176
215,car_petrol,2010,2017,10689.05586687797,10671.62818140814,10706.483552347801,157750
216,car_petrol,2010,2018,10218.728045540798,10201.596622283863,10235.859468797733,174964
217,car_petrol,2010,2019,9908.997705705357,9892.697433154228,9925.297978256485,171155
218,car_petrol,2010,2020,8400.666255264949,8385.07435868621,8416.258151843687,158596
219,car_petrol,2010,2021,7373.3209673217,7358.615433560488,7388.026501082912,163503
220,car_petrol,2010,2022,8306.512939071492,8288.49889064696,8324.526987496023,158448
221,car_petrol,2010,2023,8442.641134252932,8423.728186514156,8461.554081991708,149993
222,car_petrol,2010,2024,8399.671150576807,8379.783315500757,8419.558985652857,115290
223,car_petrol,2011,2014,12049.74821622489,12034.818226119214,12064.678206330567,193197
224,car_petrol,2011,2015,11321.08732621342,11303.098804115398,11339.07584831144,188579
225,car_petrol,2011,2016,11170.797543037514,11154.58523203794,11187.009854037087,185652
226,car_petrol,2011,2017,10923.765470303904,10905.81123535107,10941.719705256739,161991
227,car_petrol,2011,2018,10479.475293316196,10460.864316042827,10498.086270589565,181289
228,car_petrol,2011,2019,10177.903419370754,10161.695797347562,10194.111041393946,178372
229,car_petrol,2011,2020,8566.142358553694,8550.458346324274,8581.826370783114,167378
230,car_petrol,2011,2021,7550.445056813915,7536.081917416908,7564.808196210921,173109
231,car_petrol,2011,2022,8548.453059187685,8531.671553210172,8565.234565165198,169934
232,car_petrol,2011,2023,8697.947127684381,8676.237215580675,8719.657039788088,162980
233,car_petrol,2011,2024,8663.039015516873,8637.864540413548,8688.213490620199,125863
234,car_petrol,2012,2015,11773.813347495563,11759.602086395204,11788.024608595922,197709
235,car_petrol,2012,2016,11085.868886698687,11068.830513501283,11102.90725989609,191763
236,car_petrol,2012,2017,11031.127300409247,11013.052570664908,11049.202030153587,166403
237,car_petrol,2012,2018,10591.533284067711,10575.482531798341,10607.58403633708,188096
238,car_petrol,2012,2019,10284.418846400702,10267.941174142308,10300.896518659096,185411
239,car_petrol,2012,2020,8625.408465956913,8610.722887827604,8640.094044086221,175836
240,car_petrol,2012,2021,7578.822544063079,7565.174617427991,7592.4704706981665,181104
